Source:,/home/caudanie/Documents/KiCadProjects/MMDVM_HS_Hat/mmdvm_hs-hat.sch,,,,,,,,,,
Date:,Mon 28 May 2018 01:47:52 PM CEST,,,,,,,,,,
Tool:,Eeschema 5.0.0-rc2-unknown-da66005~65~ubuntu16.04.1,,,,,,,,,,
Generator:,/usr/lib/x86_64-linux-gnu/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,76,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MFR,MPN,SPN,SPR,SPURL
,,D8,red,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,http://www.mouser.com/ds/2/216/APHHS1005SURCK-32322.pdf,Kingbright,APHHS1005SURCK,604-APHHS1005SURCK,Mouser,
,,D9,blue,mmdvm_hs-hat-rescue:LED-RESCUE-mmdvm_hs-hat,LED_SMD:LED_0402_1005Metric,https://www.mouser.com/ds/2/216/APHHS1005QBC-D-54846.pdf,Kingbright,APHHS1005QBC/D,604-APHHS1005QBCD,Mouser,
,,L1,22n,mmdvm_hs-hat-rescue:L-RESCUE-mmdvm_hs-hat,Inductor_SMD:L_0402_1005Metric,http://www.mouser.com/ds/2/281/JELF243A-0140-937123.pdf,Murata Electronics,LQW15CA22NJ00D,81-LQW15CA22NJ00D,Mouser,
,,L2,20n,mmdvm_hs-hat-rescue:L-RESCUE-mmdvm_hs-hat,Inductor_SMD:L_0402_1005Metric,http://www.mouser.com/ds/2/418/NG_CD_1624112_BA1-656883.pdf,TE Connectivity / Sigma Inductors,36501E20NJTDG,279-36501E20NJTDG,Mouser,
,,L3,13n,mmdvm_hs-hat-rescue:L-RESCUE-mmdvm_hs-hat,Inductor_SMD:L_0402_1005Metric,http://www.mouser.com/ds/2/281/murata_inductors-1186262.pdf,Murata Electronics,LQW15AN13NG80D,81-LQW15AN13NG80D,Mouser,
,,L4,27n,mmdvm_hs-hat-rescue:L-RESCUE-mmdvm_hs-hat,Inductor_SMD:L_0402_1005Metric,http://www.mouser.com/ds/2/281/murata_inductors-1186262.pdf,Murata Electronics,LQW15AN27NG80D,81-LQW15AN27NG80D,Mouser,
,,L5,10u,mmdvm_hs-hat-rescue:L-RESCUE-mmdvm_hs-hat,Inductor_SMD:L_0402_1005Metric,http://www.mouser.com/ds/2/445/74279277-372706.pdf,Wurth Electronics,74279277,710-74279277,Mouser,
,,L6,18n,mmdvm_hs-hat-rescue:L-RESCUE-mmdvm_hs-hat,Inductor_SMD:L_0402_1005Metric,https://www.mouser.com/ds/2/418/NG_CS_1309350_PASSIVE_COMPONENT_0807-1236213.pdf,TE Connectivity / Sigma Inductors,36501E18NJTDG,279-36501E18NJTDG,Mouser,
,,P1,I2C,mmdvm_hs-hat-rescue:CONN_01X04-RESCUE-mmdvm_hs-hat,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,http://www.mouser.com/ds/2/418/NG_CD_826629_AA_baseFilename-683270.pdf,TE Connectivity / AMP,826629-4,571-826629-4,Mouser,
,,P2,DISPLAY,mmdvm_hs-hat-rescue:CONN_01X04-RESCUE-mmdvm_hs-hat,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,http://www.mouser.com/ds/2/418/NG_CD_826629_AA_baseFilename-683270.pdf,TE Connectivity / AMP,826629-4,571-826629-4,Mouser,
,,P3,SMA,mmdvm_hs-hat-rescue:CONN_01X02-RESCUE-mmdvm_hs-hat,Connectors:SMA_THT_Jack_Straight,http://www.mouser.com/ds/2/18/C901-144-8RFX-710432.pdf,TE Connectivity,5-1814832-1,571-5-1814832-1,Mouser,
,,P4,STLINK,mmdvm_hs-hat-rescue:CONN_01X04-RESCUE-mmdvm_hs-hat,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,http://www.mouser.com/ds/2/418/NG_CD_826629_AA_baseFilename-683270.pdf,TE Connectivity / AMP,826629-4,571-826629-4,Mouser,
,,PI1,RPI-ZERO,RPI-Zero:RPI-ZERO,pizero:RPI-Zero-RASPBERRYPI_BASTELSTUBE_V13_RASPI_BOARD_B+_FULL,http://www.mouser.com/ds/2/181/M20-783-351164.pdf,Harwin,M20-7832046,855-M20-7832046,Mouser,
,,R1,10k,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/427/dcrcwe3-109170.pdf,Vishay,CRCW040210K0FKED,71-CRCW0402-10K-E3,Mouser,
,,R2,1k1,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/392/susumu_RR_Data_Sheet-358748.pdf,Susumu,RR0510P-112-D,754-RR0510P-112D,Mouser,
,,R3,3k8,mmdvm_hs-hat-rescue:R-RESCUE-mmdvm_hs-hat,Resistor_SMD:R_0402_1005Metric,http://www.mouser.com/ds/2/392/susumu_RR_Data_Sheet-358748.pdf,Susumu,RR0510P-3831-D,754-RR0510P-3831D,Mouser,
